Scanning directory: C:\Users\VICTUS\Desktop\Sertaç

C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\RUS-101-soru sözcüğü olan sorular ve cevapları .pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1288s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\SORU SÖZCÜĞÜ OLMAYAN SORU LAR VE CEVAPLARI (2).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0189s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\SORU SÖZCÜĞÜ OLMAYAN SORU LAR VE CEVAPLARI (2).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1005s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\3\RUS 101 CİNSİYETLER. KİŞİ ZAMİRLERİ (1).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0148s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\4\RUS-101-KONU TEKARI. ARA SINAVINA HAZIRLIK.  .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9926s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\5\RUS 101 - İYELİK ZAMİRLERİ -2.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9921s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\5\RUS 101 İYELİK ZAMİRLERİ.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9996s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\5\RUSÇA SÖZCÜKLER-RUS-101-FİNAL-SESSİZ.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0779s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\6\Rus 101- ev ödevi-3-iyelik zamirleri (2).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0900s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\6\RUS 101- sayılar -EV ÖDEVİ.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0884s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\6\RUSÇA SÖZCÜKLER-RUS-101-FİNAL-SESLİ.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1140s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\6\SAYILAR-SESLİ .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0083s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\6\SAYILAR-SESLİ .pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1258s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\7\NEZAKET S.-OKUMA -tekrar .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0136s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\7\NEZAKET S.-OKUMA -tekrar .pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0785s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\7\RUS 101-MESLEKLER-1.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0157s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\7\RUS 101-MESLEKLER-1.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1213s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\8\MESLEKLER-EV ÖDEVİ.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1729s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\8\RUS 101-MESLEKLER -2.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0243s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\8\RUS 101-MESLEKLER -2.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0990s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\ÇOĞUL İSTİSNA-RUS-101-SESLİ.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0986s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\ÇOĞUL İSTİSNA-RUS-101-SESLİ.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1213s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\RUS-101-çoğullar-ev ödevi-6.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1537s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\rus-101-SİMLERİN ÇOĞULLARI  .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0947s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\rus-101-SİMLERİN ÇOĞULLARI  .pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1742s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\RUS-101-ГДЕ.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1259s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\9\RUS-101-ГДЕ.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1519s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\Application.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0565s)
